file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,25
style.css,53,css,f726fc90,Khanh Phan,2025-10-16,13:35:32,-07:00,2025-10-16T13:35:32-07:00,2,69
style.css,54,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,55,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,56,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,11
style.css,57,css,f726fc90,Khanh Phan,2025-10-16,13:35:32,-07:00,2025-10-16T13:35:32-07:00,2,106
style.css,58,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,51
style.css,59,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,25
style.css,60,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,83
style.css,61,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,62,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,63,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,4
style.css,64,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,50
style.css,65,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,12
style.css,66,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,67
style.css,67,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,50
style.css,68,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,69,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,70,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,10
style.css,71,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,57
style.css,72,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,29
style.css,73,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,74,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,75,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,11
